post_hoc,harness,model,version,panel,contrast,metric,n_families,difference_pp,p_sign_flip,nonzero_families,loo_min_pp,loo_max_pp,eligible_families
True,MiniSWE,Qwen30,original,all_13,B-C,F,12,12.5,0.25,3,9.090909090909092,13.636363636363635,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,all_13,B-C,S,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,all_13,B-C,U,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,B-C,F,12,12.5,0.25,3,9.090909090909092,13.636363636363635,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,B-C,S,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,B-C,U,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,B-C,F,11,13.636363636363635,0.25,3,10.0,15.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,B-C,S,11,4.545454545454546,1.0,3,0.0,10.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,B-C,U,11,4.545454545454546,1.0,3,0.0,10.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,B-C,F,11,13.636363636363635,0.25,3,10.0,15.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,B-C,S,11,4.545454545454546,1.0,3,0.0,10.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,B-C,U,11,4.545454545454546,1.0,3,0.0,10.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_reviewed_families,B-C,F,9,11.11111111111111,0.5,2,6.25,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Qwen30,original,without_reviewed_families,B-C,S,9,5.555555555555555,1.0,3,0.0,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Qwen30,original,without_reviewed_families,B-C,U,9,0.0,1.0,2,-6.25,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,B-C,F,9,11.11111111111111,0.5,2,6.25,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,B-C,S,9,5.555555555555555,1.0,3,0.0,12.5,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,B-C,U,9,0.0,1.0,2,-6.25,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,all_13,C-N,F,12,4.166666666666666,1.0,1,0,4.545454545454546,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,all_13,C-N,S,12,12.5,0.5,4,4.545454545454546,18.181818181818183,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,all_13,C-N,U,12,-8.333333333333332,0.75,4,-18.181818181818183,0.0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,all_13,C-N,F,12,4.166666666666666,1.0,1,0,4.545454545454546,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,all_13,C-N,S,12,8.333333333333332,0.75,3,0.0,13.636363636363635,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,all_13,C-N,U,12,-4.166666666666666,1.0,3,-13.636363636363635,4.545454545454546,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,C-N,F,11,4.545454545454546,1.0,1,0,5.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,C-N,S,11,13.636363636363635,0.5,4,5.0,20.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_X06,C-N,U,11,-9.090909090909092,0.75,4,-20.0,0.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,C-N,F,11,4.545454545454546,1.0,1,0,5.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,C-N,S,11,9.090909090909092,0.75,3,0.0,15.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,without_X06,C-N,U,11,-4.545454545454546,1.0,3,-15.0,5.0,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28
True,MiniSWE,Devstral,original,without_reviewed_families,C-N,F,9,5.555555555555555,1.0,1,0,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,without_reviewed_families,C-N,S,9,11.11111111111111,0.75,3,0.0,18.75,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,without_reviewed_families,C-N,U,9,-5.555555555555555,1.0,3,-18.75,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,C-N,F,9,5.555555555555555,1.0,1,0,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,C-N,S,9,11.11111111111111,0.75,3,0.0,18.75,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,revised,without_reviewed_families,C-N,U,9,-5.555555555555555,1.0,3,-18.75,6.25,F01;F02;F04;F08;F17;F20;X11;X20;X24
True,MiniSWE,Devstral,original,all_13,B-C,F,12,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,all_13,B-C,S,12,0.0,1.0,2,-4.545454545454546,4.545454545454546,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,original,all_13,B-C,U,12,0.0,1.0,2,-4.545454545454546,4.545454545454546,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,all_13,B-C,F,12,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
True,MiniSWE,Devstral,revised,all_13,B-C,S,12,0,1.0,0,0,0,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
