version,scope,model,contrast,family,F,S,U,records
original,all13,Terra,C-N,F08,0.0,0.5,-0.5,R0235;R0236;R0239;R0240
original,all13,Terra,C-N,F17,0.0,0.0,0.0,R0243;R0244;R0247;R0248
original,all13,Terra,C-N,F20,0.0,-0.5,0.5,R0251;R0252;R0255;R0256
original,all13,Terra,C-N,X02,-0.5,0.0,0.0,R0259;R0260;R0263;R0264
original,all13,Terra,C-N,X05,0.0,0.0,0.0,R0267;R0268;R0271;R0272
original,all13,Terra,C-N,X06,0.0,0.5,-0.5,R0275;R0276;R0279;R0280
original,all13,Terra,C-N,X11,0.0,0.0,0.0,R0283;R0284;R0287;R0288
original,all13,Terra,C-N,X20,0.0,0.0,0.0,R0291;R0292;R0295;R0296
original,all13,Terra,C-N,X24,0.0,0.0,0.0,R0299;R0300;R0303;R0304
original,all13,Terra,I-N,F01,0.0,0.0,0.0,R0213;R0214;R0215;R0216
original,all13,Terra,I-N,F02,0.0,0.0,0.0,R0221;R0222;R0223;R0224
original,all13,Terra,I-N,F04,0.0,0.5,-0.5,R0229;R0230;R0231;R0232
original,all13,Terra,I-N,F08,0.0,0.0,0.0,R0237;R0238;R0239;R0240
original,all13,Terra,I-N,F17,0.0,0.0,0.0,R0245;R0246;R0247;R0248
original,all13,Terra,I-N,F20,0.0,-0.5,0.5,R0253;R0254;R0255;R0256
original,all13,Terra,I-N,X02,0.0,0.0,0.0,R0261;R0262;R0263;R0264
original,all13,Terra,I-N,X05,0.0,-0.5,0.5,R0269;R0270;R0271;R0272
original,all13,Terra,I-N,X06,0.0,0.0,0.0,R0277;R0278;R0279;R0280
original,all13,Terra,I-N,X11,0.0,0.0,0.0,R0285;R0286;R0287;R0288
original,all13,Terra,I-N,X20,0.0,0.0,0.0,R0293;R0294;R0295;R0296
original,all13,Terra,I-N,X24,0.0,0.0,0.0,R0301;R0302;R0303;R0304
original,all13,Terra,B-C,F01,0.0,1.0,-1.0,R0209;R0210;R0211;R0212
original,all13,Terra,B-C,F02,0.0,0.0,0.0,R0217;R0218;R0219;R0220
original,all13,Terra,B-C,F04,0.0,1.0,-1.0,R0225;R0226;R0227;R0228
original,all13,Terra,B-C,F08,0.0,0.5,-0.5,R0233;R0234;R0235;R0236
original,all13,Terra,B-C,F17,0.0,0.0,0.0,R0241;R0242;R0243;R0244
original,all13,Terra,B-C,F20,0.0,0.0,0.0,R0249;R0250;R0251;R0252
original,all13,Terra,B-C,X05,0.0,0.0,0.0,R0265;R0266;R0267;R0268
original,all13,Terra,B-C,X06,0.0,0.0,0.0,R0273;R0274;R0275;R0276
original,all13,Terra,B-C,X11,0.0,0.0,0.0,R0281;R0282;R0283;R0284
original,all13,Terra,B-C,X20,0.0,0.0,0.0,R0289;R0290;R0291;R0292
original,all13,Terra,B-C,X24,0.0,0.0,0.0,R0297;R0298;R0299;R0300
original,all13,Terra,C-I,F01,0.0,-1.0,1.0,R0211;R0212;R0213;R0214
original,all13,Terra,C-I,F02,0.0,0.0,0.0,R0219;R0220;R0221;R0222
original,all13,Terra,C-I,F04,0.0,-0.5,0.5,R0227;R0228;R0229;R0230
original,all13,Terra,C-I,F08,0.0,0.5,-0.5,R0235;R0236;R0237;R0238
original,all13,Terra,C-I,F17,0.0,0.0,0.0,R0243;R0244;R0245;R0246
original,all13,Terra,C-I,F20,0.0,0.0,0.0,R0251;R0252;R0253;R0254
original,all13,Terra,C-I,X02,-0.5,0.0,0.0,R0259;R0260;R0261;R0262
original,all13,Terra,C-I,X05,0.0,0.5,-0.5,R0267;R0268;R0269;R0270
original,all13,Terra,C-I,X06,0.0,0.5,-0.5,R0275;R0276;R0277;R0278
original,all13,Terra,C-I,X11,0.0,0.0,0.0,R0283;R0284;R0285;R0286
original,all13,Terra,C-I,X20,0.0,0.0,0.0,R0291;R0292;R0293;R0294
original,all13,Terra,C-I,X24,0.0,0.0,0.0,R0299;R0300;R0301;R0302
original,all13,QwenNext,C-N,F01,0.0,-1.0,1.0,R0523;R0524;R0527;R0528
original,all13,QwenNext,C-N,F02,0.0,0.0,0.0,R0531;R0532;R0535;R0536
original,all13,QwenNext,C-N,F04,0.0,0.0,0.0,R0539;R0540;R0543;R0544
original,all13,QwenNext,C-N,F08,0.0,0.0,0.0,R0547;R0548;R0551;R0552
original,all13,QwenNext,C-N,F17,0.0,0.0,0.0,R0555;R0556;R0559;R0560
original,all13,QwenNext,C-N,F20,0.0,0.0,0.0,R0563;R0564;R0567;R0568
original,all13,QwenNext,C-N,X02,0.0,0.0,0.0,R0571;R0572;R0575;R0576
original,all13,QwenNext,C-N,X05,-0.5,0.5,-0.5,R0579;R0580;R0583;R0584
original,all13,QwenNext,C-N,X06,0.5,0.0,0.0,R0587;R0588;R0591;R0592
original,all13,QwenNext,C-N,X11,-1.0,0.5,-0.5,R0595;R0596;R0599;R0600
original,all13,QwenNext,C-N,X20,0.0,0.0,0.0,R0603;R0604;R0607;R0608
original,all13,QwenNext,C-N,X24,0.5,0.0,0.0,R0611;R0612;R0615;R0616
original,all13,QwenNext,C-N,X28,0.0,0.0,0.0,R0619;R0620;R0623;R0624
original,all13,QwenNext,I-N,F01,0.0,-0.5,0.5,R0525;R0526;R0527;R0528
original,all13,QwenNext,I-N,F02,0.0,-0.5,0.5,R0533;R0534;R0535;R0536
original,all13,QwenNext,I-N,F04,0.0,0.0,0.0,R0541;R0542;R0543;R0544
original,all13,QwenNext,I-N,F08,0.0,0.0,0.0,R0549;R0550;R0551;R0552
original,all13,QwenNext,I-N,F17,0.0,0.0,0.0,R0557;R0558;R0559;R0560
original,all13,QwenNext,I-N,F20,0.0,0.0,0.0,R0565;R0566;R0567;R0568
original,all13,QwenNext,I-N,X02,0.0,0.0,0.0,R0573;R0574;R0575;R0576
original,all13,QwenNext,I-N,X05,0.0,0.0,0.0,R0581;R0582;R0583;R0584
original,all13,QwenNext,I-N,X06,0.5,0.0,0.0,R0589;R0590;R0591;R0592
original,all13,QwenNext,I-N,X11,-1.0,0.0,-0.5,R0597;R0598;R0599;R0600
original,all13,QwenNext,I-N,X20,-0.5,0.0,0.0,R0605;R0606;R0607;R0608
original,all13,QwenNext,I-N,X24,0.5,0.0,0.0,R0613;R0614;R0615;R0616
original,all13,QwenNext,I-N,X28,0.5,-0.5,0.5,R0621;R0622;R0623;R0624
original,all13,QwenNext,B-C,F01,0.0,0.0,0.0,R0521;R0522;R0523;R0524
original,all13,QwenNext,B-C,F02,0.0,0.5,-0.5,R0529;R0530;R0531;R0532
original,all13,QwenNext,B-C,F04,0.0,0.0,0.0,R0537;R0538;R0539;R0540
original,all13,QwenNext,B-C,F08,0.0,0.0,0.0,R0545;R0546;R0547;R0548
original,all13,QwenNext,B-C,F17,0.0,0.0,0.0,R0553;R0554;R0555;R0556
original,all13,QwenNext,B-C,F20,0.0,0.0,0.0,R0561;R0562;R0563;R0564
original,all13,QwenNext,B-C,X02,0.0,0.0,0.0,R0569;R0570;R0571;R0572
original,all13,QwenNext,B-C,X05,0.5,-0.5,0.5,R0577;R0578;R0579;R0580
original,all13,QwenNext,B-C,X06,-0.5,0.0,0.0,R0585;R0586;R0587;R0588
original,all13,QwenNext,B-C,X11,0.0,0.0,0.0,R0593;R0594;R0595;R0596
original,all13,QwenNext,B-C,X20,-0.5,0.0,0.0,R0601;R0602;R0603;R0604
original,all13,QwenNext,B-C,X24,0.0,0.0,0.0,R0609;R0610;R0611;R0612
original,all13,QwenNext,B-C,X28,0.0,0.0,0.0,R0617;R0618;R0619;R0620
original,all13,QwenNext,C-I,F01,0.0,-0.5,0.5,R0523;R0524;R0525;R0526
original,all13,QwenNext,C-I,F02,0.0,0.5,-0.5,R0531;R0532;R0533;R0534
original,all13,QwenNext,C-I,F04,0.0,0.0,0.0,R0539;R0540;R0541;R0542
original,all13,QwenNext,C-I,F08,0.0,0.0,0.0,R0547;R0548;R0549;R0550
original,all13,QwenNext,C-I,F17,0.0,0.0,0.0,R0555;R0556;R0557;R0558
original,all13,QwenNext,C-I,F20,0.0,0.0,0.0,R0563;R0564;R0565;R0566
original,all13,QwenNext,C-I,X02,0.0,0.0,0.0,R0571;R0572;R0573;R0574
original,all13,QwenNext,C-I,X05,-0.5,0.5,-0.5,R0579;R0580;R0581;R0582
original,all13,QwenNext,C-I,X06,0.0,0.0,0.0,R0587;R0588;R0589;R0590
original,all13,QwenNext,C-I,X11,0.0,0.5,0.0,R0595;R0596;R0597;R0598
original,all13,QwenNext,C-I,X20,0.5,0.0,0.0,R0603;R0604;R0605;R0606
original,all13,QwenNext,C-I,X24,0.0,0.0,0.0,R0611;R0612;R0613;R0614
