run_id,model,max_tokens,context_limit,temperature,top_p,top_k,native_tool_calls,step_limit,wall_time_limit_seconds
f6a0af7652810d1c24baeea6,Qwen30,512,32768,0.7,0.8,20,True,30,900
fb717ed4c33829db1993ba3b,Qwen30,512,32768,0.7,0.8,20,True,30,900
fbc82777cc3a030a0b49506d,Qwen30,512,32768,0.7,0.8,20,True,30,900
ffcda063be7bfe9fb69166ef,Qwen30,512,32768,0.7,0.8,20,True,30,900
000881b6de37aa30f3578194,QwenNext,512,32768,1.0,0.95,40,True,30,900
05caed6bc1fc7e86cb61d7a2,QwenNext,512,32768,1.0,0.95,40,True,30,900
07f62830ba9986be23495a2b,QwenNext,512,32768,1.0,0.95,40,True,30,900
0b72e66630bfcb67d58225fa,QwenNext,512,32768,1.0,0.95,40,True,30,900
0ddcc8f5ad6c440f896d375a,QwenNext,512,32768,1.0,0.95,40,True,30,900
103550fde327e9aef5e3b646,QwenNext,512,32768,1.0,0.95,40,True,30,900
1311387801d88a8baadc3736,QwenNext,512,32768,1.0,0.95,40,True,30,900
137c1847236decde933a1430,QwenNext,512,32768,1.0,0.95,40,True,30,900
17fa30ce0044805cae644905,QwenNext,512,32768,1.0,0.95,40,True,30,900
1b1936908cf6d55e5f7f7612,QwenNext,512,32768,1.0,0.95,40,True,30,900
1bf6bacf0e1d4f30d24931b3,QwenNext,512,32768,1.0,0.95,40,True,30,900
1c98a361d5c5b7c7ce880444,QwenNext,512,32768,1.0,0.95,40,True,30,900
2018c61597b2896c78999438,QwenNext,512,32768,1.0,0.95,40,True,30,900
21c4b59ffc43fd8699ff2396,QwenNext,512,32768,1.0,0.95,40,True,30,900
25c55f204ad295d9ccb1cd45,QwenNext,512,32768,1.0,0.95,40,True,30,900
2834504f8c616d1865b5e18f,QwenNext,512,32768,1.0,0.95,40,True,30,900
2cb53c0f380d038c586f1602,QwenNext,512,32768,1.0,0.95,40,True,30,900
2f420e92287a453373030c16,QwenNext,512,32768,1.0,0.95,40,True,30,900
3240c22dca80f7d07ac0de8d,QwenNext,512,32768,1.0,0.95,40,True,30,900
347799b220b32d70503cfe0c,QwenNext,512,32768,1.0,0.95,40,True,30,900
367866c96bd84145a890d152,QwenNext,512,32768,1.0,0.95,40,True,30,900
3a2ea31f716c8504d37dc8a6,QwenNext,512,32768,1.0,0.95,40,True,30,900
3a60f8a18dd75ad6ac7e4297,QwenNext,512,32768,1.0,0.95,40,True,30,900
3bcbbb3c826c24d4419fda2b,QwenNext,512,32768,1.0,0.95,40,True,30,900
3e4f5cdef9d0fd99fd7d3bbf,QwenNext,512,32768,1.0,0.95,40,True,30,900
409b10bd29fe359f6b665a76,QwenNext,512,32768,1.0,0.95,40,True,30,900
40fa2b162c4f259b737289b3,QwenNext,512,32768,1.0,0.95,40,True,30,900
419204b051a6231e867d0ddf,QwenNext,512,32768,1.0,0.95,40,True,30,900
44bd3a5f37dd86d56cbb8212,QwenNext,512,32768,1.0,0.95,40,True,30,900
45e6b0c4b19ee42b758f6f3b,QwenNext,512,32768,1.0,0.95,40,True,30,900
464127a38a3db24832ccc658,QwenNext,512,32768,1.0,0.95,40,True,30,900
4a3e9986b0f06596093677cb,QwenNext,512,32768,1.0,0.95,40,True,30,900
4b073213532c72384b3ce5cd,QwenNext,512,32768,1.0,0.95,40,True,30,900
5110181d9e619cfef7878bb7,QwenNext,512,32768,1.0,0.95,40,True,30,900
58984699b9e279c20510c3d6,QwenNext,512,32768,1.0,0.95,40,True,30,900
5934de62a46ceb5e21a382ef,QwenNext,512,32768,1.0,0.95,40,True,30,900
5d04565c0801eef687f86a26,QwenNext,512,32768,1.0,0.95,40,True,30,900
60109255eb955e7c86443dcc,QwenNext,512,32768,1.0,0.95,40,True,30,900
61f378cc32b29d484cecd43f,QwenNext,512,32768,1.0,0.95,40,True,30,900
63f51fe9147221c520c77026,QwenNext,512,32768,1.0,0.95,40,True,30,900
64f32ecc53a9df9e82fcdae2,QwenNext,512,32768,1.0,0.95,40,True,30,900
65d8ca72148627169e1fb8a3,QwenNext,512,32768,1.0,0.95,40,True,30,900
6699c13e003bddf1a015b743,QwenNext,512,32768,1.0,0.95,40,True,30,900
66ccea2b856a3c0b05945f32,QwenNext,512,32768,1.0,0.95,40,True,30,900
6822e26005fa599b4cd3cf6f,QwenNext,512,32768,1.0,0.95,40,True,30,900
6b77810ceb2d7f7c52f1a76c,QwenNext,512,32768,1.0,0.95,40,True,30,900
72263759d22407e61369c526,QwenNext,512,32768,1.0,0.95,40,True,30,900
727292db1ac85e25904429d2,QwenNext,512,32768,1.0,0.95,40,True,30,900
738791854c158884a15d85e1,QwenNext,512,32768,1.0,0.95,40,True,30,900
776203fa8ba16391483e9b0f,QwenNext,512,32768,1.0,0.95,40,True,30,900
