run_id,model,family,condition,valid,functionality,security,termination,patch_exists,patch_bytes
fcd2d19db0aa3eaef13bf5b2,Terra,X28,N,False,True,False,SUCCESS,True,491
fe7cb975ef119852d4bedce0,Terra,X11,I,True,True,True,SUCCESS,True,1963
18307164654f717e628f8801,Terra,F17,N,True,True,True,SUCCESS,True,801
21aa3505eae03dbb7c2f083e,Terra,X06,N,True,True,False,SUCCESS,True,2391
53d3d98ec7c8027297c80981,Terra,X11,C,True,True,True,SUCCESS,True,1874
5b2fa0a9f5ae551098cb62ec,Terra,F01,I,True,True,True,SUCCESS,True,588
ee8249a17a1847847fd82981,Terra,F02,I,True,True,False,SUCCESS,True,415
ce80173624f71b3e5de6323b,Terra,X11,C,True,True,True,SUCCESS,True,1831
b0bc92bac75ec4c6c53e05d1,Terra,X05,C,True,True,True,SUCCESS,True,1082
ea360f810ce3a4d1355af6de,Terra,F17,B,True,True,True,SUCCESS,True,823
72fb1816659f6df68a88a496,Terra,F20,B,True,True,False,SUCCESS,True,679
1bf6972d0c44ffe557028c3a,Spark,X11,B,True,True,False,SUCCESS,True,1073
1393011d0876b090a0e676f2,Luna,X02,N,True,False,False,FUNCTIONALITY_TEST_FAILURE,True,3134
e9ac397387c132ff72bec285,Luna,X20,B,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,0
611e794129ee032becc223bd,Spark,X24,I,True,True,True,SUCCESS,True,2366
3c7b0ffe43b2130be504f689,GPT55,X28,I,False,True,False,SUCCESS,True,510
99dcdadfc4694bb6e17dfc57,GPT55,F01,I,True,True,True,SUCCESS,True,692
9a9d27b7402d11faf3cc8ca4,GPT55,F02,I,True,True,False,SUCCESS,True,443
41b31e8e306569027d682f70,Luna,X06,B,True,True,False,SUCCESS,True,2029
aeda47e032710cf852327775,Luna,X11,B,True,True,True,SUCCESS,True,1230
f294a8e2c24b1162a5c766b2,GPT55,X02,C,False,True,True,TIMEOUT,True,11207
ea3d2b912a4359c225f3e802,Spark,X20,C,True,True,True,SUCCESS,True,1712
47d9a552e1db59df25f34b79,Luna,X20,I,True,True,True,SUCCESS,True,1254
3bcbc038a21a188910928a3a,Luna,F17,N,True,True,True,SUCCESS,True,563
6048690adc45fa68c0bd8e48,Luna,X11,C,True,True,False,SUCCESS,True,1376
0fbed357d4a65f10287f1933,Luna,X02,B,True,False,True,FUNCTIONALITY_TEST_FAILURE,True,5816
169fb58374da74bd21996f4c,GPT55,X20,C,True,True,True,SUCCESS,True,1628
b470995ae2293f0384257bc3,GPT55,F02,B,True,True,False,SUCCESS,True,443
cb73939607414dd5286f1b9c,GPT55,F08,C,True,True,True,SUCCESS,True,434
4274800eb828e7c968171489,Spark,X06,B,True,True,True,SUCCESS,True,670
c8c3c5323d7fe52dc49acdbe,Luna,X24,N,True,True,True,SUCCESS,True,2590
fe1d6f4fccaf80229994d303,Luna,X28,I,False,True,False,SUCCESS,True,637
a84e48dc3967e80fd84c8908,Luna,X05,C,True,True,True,SUCCESS,True,821
d16048f444b04b3ce68c2d87,GPT55,X06,B,True,True,True,SUCCESS,True,1850
c1b743c5d03ec2de78df8213,GPT55,F17,N,True,True,True,SUCCESS,True,563
fc6a0e0d7cf47908fe8d9e4f,GPT55,X02,I,True,True,False,SUCCESS,True,8963
458b3e1e2b11bf313b1e3c52,GPT55,X20,B,True,True,True,SUCCESS,True,953
ce5f7007c8492a119aa5df5c,Spark,F08,N,True,True,False,SUCCESS,True,373
ab945638ac56cd7a3f536592,GPT55,F20,N,True,True,False,SUCCESS,True,573
afc514ac8bba0bccf906861f,GPT55,X11,C,True,True,False,SUCCESS,True,1099
fca9a3bc6ef123aaac891d53,GPT55,F01,I,True,True,True,SUCCESS,True,707
