model,family,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass,run_ids
Spark,X02,C,1,0,1,0,0,0,0,0,0,3d9747f8778c050a9c89447b
Spark,X02,I,2,0,2,0,0,0,0,0,0,04dd6234e96f715e46be8a0a;24619f03fbcd7fd54ef857c4
Spark,X02,B,2,0,2,0,0,0,0,0,0,4196f36d76fb6f1ad038491c;72b05f3c891f26cde8ec3e51
Spark,X05,N,2,1,1,1,0,1,0,0,0,66461da56ca92de77cd122f3;9eee2add3fcad8be8451a9c2
Spark,X05,C,1,1,0,1,1,0,1,0,0,7363f493537a60ccef9f72aa
Spark,X05,I,1,1,0,1,0,1,0,0,0,c0b3380ddcfcd18a0bfe0a0a
Spark,X05,B,2,2,0,2,2,0,2,0,0,cafffde87eef32434c60f551;72f1eb2298ba89e87c468d61
Spark,X06,N,2,1,1,1,1,0,1,0,0,21c83ee6e5b200d651278eae;85dfc6b318133ae867a6a9de
Spark,X06,C,2,1,1,1,1,0,1,0,0,ec25820029eb0766154a6e14;43694d7e0bae604b52127d4d
Spark,X06,I,1,1,0,1,1,0,1,0,0,a69dab5163ddfd4561dd3554
Spark,X06,B,2,2,0,2,2,0,2,0,0,4274800eb828e7c968171489;3d5b31a2aea30f92ddb3e7f5
Spark,X11,N,2,2,0,2,2,0,2,0,0,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9
Spark,X11,C,2,2,0,2,0,2,0,0,0,6ffbec1d96832358a0e9f071;a09c2cf49599b8c6980414a3
Spark,X11,I,2,2,0,2,0,2,0,0,0,c2d01b2a7d273c844a630f0e;8203305788376b039dff4ec9
Spark,X11,B,1,1,0,1,0,1,0,0,0,1bf6972d0c44ffe557028c3a
Spark,X20,N,2,2,0,2,1,1,1,0,0,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa
Spark,X20,C,2,2,0,2,2,0,2,0,0,ea3d2b912a4359c225f3e802;56930bf46c595da6023b3e2d
Spark,X20,I,2,2,0,2,2,0,2,0,0,419c834acdc0fae3b7630fc6;229b305cbd804a01db628e39
Spark,X20,B,1,1,0,1,1,0,1,0,0,922d45cc93e648145ec1cc85
Spark,X24,N,1,1,0,1,1,0,1,0,0,0792c3f043d77da19d492561
Spark,X24,C,2,2,0,2,2,0,2,0,0,38f20ea5183fac8d6f52c95b;db2949d7a9ee125de72a3d8b
Spark,X24,I,1,1,0,1,1,0,1,0,0,611e794129ee032becc223bd
Spark,X24,B,1,1,0,1,1,0,1,0,0,c0e3727c7cd53d835f4e1bde
Spark,X28,N,2,1,1,1,0,1,0,0,0,8c7635c3aad32d556833f7bb;f1f4eb020b18ddaa1839bc7d
