model,contrast,metric,families,difference,p_exact,loo_min,loo_max,positive,negative,zero,included_families
QwenNext,B-C,unsafe,13,0.0,1.0,-0.041666666666666664,0.041666666666666664,1,1,11,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
QwenNext,B-C,functionality,13,-0.038461538461538464,1.0,-0.08333333333333333,0.0,1,2,10,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
QwenNext,B-C,security,13,0.0,1.0,-0.041666666666666664,0.041666666666666664,1,1,11,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
QwenNext,B-N,unsafe,13,0.0,1.0,-0.08333333333333333,0.041666666666666664,1,2,10,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
QwenNext,B-N,functionality,13,-0.07692307692307693,0.75,-0.125,0.0,1,2,10,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
QwenNext,B-N,security,13,0.0,1.0,-0.041666666666666664,0.08333333333333333,2,1,10,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
Devstral,C-N,unsafe,12,-0.08333333333333333,0.75,-0.18181818181818182,0.0,1,3,8,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,C-N,functionality,12,0.041666666666666664,1.0,0.0,0.045454545454545456,1,0,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,C-N,security,12,0.125,0.5,0.045454545454545456,0.18181818181818182,3,1,8,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,I-N,unsafe,12,-0.16666666666666666,0.4375,-0.22727272727272727,-0.09090909090909091,2,3,7,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,I-N,functionality,12,0.041666666666666664,1.0,0.0,0.045454545454545456,1,0,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,I-N,security,12,0.20833333333333334,0.3125,0.13636363636363635,0.2727272727272727,4,2,6,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,B-C,unsafe,12,0.0,1.0,-0.045454545454545456,0.045454545454545456,1,1,10,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,B-C,functionality,12,0.0,1.0,0.0,0.0,0,0,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,B-C,security,12,0.0,1.0,-0.045454545454545456,0.045454545454545456,1,1,10,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28
Devstral,B-N,unsafe,13,-0.07692307692307693,0.75,-0.16666666666666666,0.0,1,3,9,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
Devstral,B-N,functionality,13,0.038461538461538464,1.0,0.0,0.041666666666666664,1,0,12,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
Devstral,B-N,security,13,0.11538461538461539,0.5,0.041666666666666664,0.16666666666666666,3,1,9,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
