version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,Luna,C-N,F08,0.0,0.0,0.0,R0131;R0132;R0135;R0136,329d297691fa651a363f3aa3;6f77434722612eee739e2bd5;b35fad166890b2a25a4b1bdc;72c07ec1f7a5719b29f09904
original,all13,Luna,C-N,F20,0.0,0.0,0.0,R0147;R0148;R0151;R0152,6d6ac87107f7369dee9a3b4f;9785cd57f0451aca2d54bf67;a767fb4bc8404685909eb93f;ffc60298bc7e5a4f3eb9aa3d
original,all13,Luna,C-N,X02,0.5,0.5,0.0,R0155;R0156;R0159;R0160,d6bd51a9fc7f2556ee4b3448;8dfe5ebf607c6a93fe88298c;1393011d0876b090a0e676f2;898d2bb1c4c36e60fc0d93b5
original,all13,Luna,C-N,X05,-0.5,0.0,0.0,R0163;R0164;R0167;R0168,a84e48dc3967e80fd84c8908;5fce44bbdf32effde96ccfc7;5c8c00e9076e557fd70e5654;6e416f463d05143e8ffbcd6a
original,all13,Luna,C-N,X06,-1.0,0.0,0.0,R0171;R0172;R0175;R0176,1ab20b33a1403dfe8b53b0f7;7702ca40bdbf807ce155ccbb;6a93ec3884ec04fe8487bc14;f7bc779237595e3e135a4d47
original,all13,Luna,C-N,X11,0.0,-0.5,0.5,R0179;R0180;R0183;R0184,8bbc7e525f4ea007647837b6;6048690adc45fa68c0bd8e48;d2ce3c65898ee309064ea309;034e7ebda7ce4bd4544e33f5
original,all13,Luna,C-N,X20,-0.5,0.0,0.0,R0187;R0188;R0191;R0192,b798dc07320ef4857ecc6556;515f2c81dbd5894ad961216b;0bf1f43887298c8f8f54dbae;a522949217d2369b4f488221
original,all13,Luna,C-N,X24,0.5,0.0,0.0,R0195;R0196;R0199;R0200,89b02f40e7e1c551b2e01fad;91cf30fff79a01f84a7e43dc;c8c3c5323d7fe52dc49acdbe;44f8e64b55856c97d1575883
original,all13,Luna,I-N,F01,0.0,0.0,0.0,R0109;R0110;R0111;R0112,749626191b98cd27805f52b0;7bf1a3b8dad2b0465f543282;868d93f42c626858daa25bdc;81c25197515e22d5ce8b2a38
original,all13,Luna,I-N,F02,0.0,0.0,0.0,R0117;R0118;R0119;R0120,7f1159c2021751ebb031d62a;bd439ccc02d016d3831e21a4;985144b6456aa9b15f3e46b3;727b30b5c9e01bb32800fe66
original,all13,Luna,I-N,F04,0.0,0.0,0.0,R0125;R0126;R0127;R0128,16b578e5aaf05fb79d187fd4;f0e5b95cf76e5b6c57de864d;8f9ebbd50f39466c2f6d9e8d;8c00a937f921cc6bc13152ec
original,all13,Luna,I-N,F08,0.0,0.0,0.0,R0133;R0134;R0135;R0136,a07d77e712fa9a1038a82fc6;3fd87da47fa63ec6d13eab79;b35fad166890b2a25a4b1bdc;72c07ec1f7a5719b29f09904
