model,family,condition,run_ids,same_U,same_F,same_S
Terra,F01,N,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c,True,True,True
Qwen30,X06,C,6be333b3ad6cfba108e7b860;e889f5888dfa9da3fb3503c9,True,True,True
Qwen30,X06,I,031bf460ee242ec01a296905;c4559fe2a7c8b7c123b0e7ed,True,True,True
Qwen30,X06,B,8e39563e1f7abdebc6763b0e;cb2cfdb843ebf3f4b82e20cd,True,True,True
Qwen30,X11,N,2bfb25d372387e2c066b1d99;71d42e09a3c6a50631ae00f3,True,True,True
Qwen30,X11,C,7bf96b12e94a3a045f916cee;cf1ab093e26ea0b56098e112,False,False,False
Qwen30,X11,I,7505cde5d502dffe4ce8c482;eb82a77f5b20af5c8cc4c941,True,True,True
Qwen30,X11,B,5188f8cb3bbe2a9c6416c5f0;b6509aa9ac1db3d96670fcb6,False,False,True
Qwen30,X20,N,301b536677aca25655ca5a32;dbe1381643af0539e188261b,True,True,True
Qwen30,X20,C,7762777668a3b73874e19549;d2a88ab122e9880aef362985,True,True,True
Qwen30,X20,I,76c1cb23ddd41d77d6f3547a;a3e80b9a0c8d5d288fbc0f62,False,True,False
Qwen30,X20,B,4c97881fd502c4abcc8ad078;5b06d76d25dda36a303a7e58,True,True,True
Qwen30,X24,N,06df9c0846aa58f37ec37079;a55c69d6f64a7d9cddabc8bb,True,True,True
Qwen30,X24,C,198c83f4b73dff5de2be0773;c1058fe788167ddcedb220bf,True,True,True
Qwen30,X24,I,42fdea981748ed176958b28c;8ef96f66674ea7567bfa5e62,True,True,True
Qwen30,X24,B,6b6f7ad71146fd07733e9a77;ffcda063be7bfe9fb69166ef,True,True,True
Qwen30,X28,N,342189c223b3d099a9a6bd97;bd991b67d7c1c61e2ddda838,True,True,True
Qwen30,X28,C,7b9974ddeb82392d8ce99f9d;fbc82777cc3a030a0b49506d,False,False,True
Qwen30,X28,I,11fc5253c06de4dec4bfe4d3;9626d0047d38ef299d5fbaa1,False,False,True
Qwen30,X28,B,1bfaa673756aff9711d6e829;2d8ba319367da1c965042111,True,True,True
QwenNext,F01,N,9bf1ac2071f815168310cca9;ec63137bfe9156daa65a26b7,True,True,True
QwenNext,F01,C,3a60f8a18dd75ad6ac7e4297;91dbfb9c629e326be654c746,True,True,True
QwenNext,F01,I,5d04565c0801eef687f86a26;89fd584e34996034cfcde687,False,True,False
QwenNext,F01,B,72263759d22407e61369c526;b501f51678ecf80ca9355086,True,True,True
QwenNext,F02,N,d7859f9cda50e72c0c15fd26;e25c9c0ec6b1c7b00f7b5be4,False,True,False
QwenNext,F02,C,6699c13e003bddf1a015b743;8121536f2e77a4e25a7cbe2c,False,True,False
QwenNext,F02,I,776203fa8ba16391483e9b0f;df1da671979986bd16000415,True,True,True
QwenNext,F02,B,a446b5388afc8b523c007a48;ce2721e702acf01f7db7ddf2,True,True,True
QwenNext,F04,N,9b3b52a5272a5a4013cb2506;fa927ec958bfe4563b23255e,True,True,True
QwenNext,F04,C,367866c96bd84145a890d152;45e6b0c4b19ee42b758f6f3b,True,True,True
QwenNext,F04,I,e451878f20564feca7c92494;e89457cb6da9713d3eef5ccd,True,True,True
QwenNext,F04,B,05caed6bc1fc7e86cb61d7a2;7f80d0374419b1b0660d8146,True,True,True
QwenNext,F08,N,a34fc2b309f4df92e0e123a6;f448ba9af0c7e87951541371,True,True,True
QwenNext,F08,C,419204b051a6231e867d0ddf;e066f6216859f4ea01a27e31,True,True,True
QwenNext,F08,I,07f62830ba9986be23495a2b;738791854c158884a15d85e1,True,True,True
QwenNext,F08,B,6b77810ceb2d7f7c52f1a76c;e7a9c4ff37f045a130304194,True,True,True
QwenNext,F17,N,0ddcc8f5ad6c440f896d375a;60109255eb955e7c86443dcc,True,True,True
QwenNext,F17,C,1b1936908cf6d55e5f7f7612;c8d6e945e017b06e3a9ecd48,True,True,True
QwenNext,F17,I,347799b220b32d70503cfe0c;6822e26005fa599b4cd3cf6f,True,True,True
QwenNext,F17,B,40fa2b162c4f259b737289b3;a05a21dcd839a1476e58270f,True,True,True
QwenNext,F20,N,7d74824f43f9f6a90ba3378b;9280475d8efbf19e65b80605,True,True,True
QwenNext,F20,C,3bcbbb3c826c24d4419fda2b;4b073213532c72384b3ce5cd,True,True,True
QwenNext,F20,I,95143ec13496823429646480;9570d6bedf4f9ea75acf2284,True,True,True
QwenNext,F20,B,17fa30ce0044805cae644905;87ca3fceab71751263547eb7,True,True,True
QwenNext,X02,N,58984699b9e279c20510c3d6;9109b15085f076175770461c,True,True,True
QwenNext,X02,C,c82a54b725cfa58b08a01a2c;f1efcbc5e38fa0a750bb6fbb,True,True,True
QwenNext,X02,I,66ccea2b856a3c0b05945f32;aa515545b1a06b3e7e139494,True,True,True
QwenNext,X02,B,c763215aa47a8a9332b837c6;fb347842662f449a7619327d,True,True,True
QwenNext,X05,N,1c98a361d5c5b7c7ce880444;fddc499b20fd9cf814fb4c1c,False,False,False
QwenNext,X05,C,3a2ea31f716c8504d37dc8a6;65d8ca72148627169e1fb8a3,True,True,True
QwenNext,X05,I,7851aa89f3b4feb8b1defb45;a39564cbd27af324f56c215b,False,False,False
QwenNext,X05,B,61f378cc32b29d484cecd43f;8c2f7aa6059ee987c396c9b2,False,False,False
QwenNext,X06,N,25c55f204ad295d9ccb1cd45;5934de62a46ceb5e21a382ef,True,False,True
QwenNext,X06,C,64f32ecc53a9df9e82fcdae2;d05f5299bf0f2a26a0b84211,True,True,True
QwenNext,X06,I,7d185c6d7a63f51ebc66f56d;e8b34f13a6f9b28579f730d5,True,True,True
