model,family,condition,run_ids,same_U,same_F,same_S
Devstral,F04,N,4a0a487ca306c4087d8d5e89;bcb2a9c3e0e4a135578eb022,True,True,True
Devstral,F04,C,cbee4c03356d7384b4c86e05;f70d9030c6d8782cd5b80478,True,True,True
Devstral,F04,I,4e95edababbd5ea6c7656110;84235fb1e70a4a6dcdd719d1,True,True,True
Devstral,F04,B,c7ba0c92098a0ba81323a46a;de94f3130f7d5640d3be66af,True,True,True
Devstral,F08,N,2badcfb6ea4b49808ecd607d;38def9b56f6ffc8020f6a071,True,True,True
Devstral,F08,C,2d8afc94435e0280c3192dd9;5bf81b80301db5be3e0435ef,True,True,True
Devstral,F08,I,bac018e2e4e924a60d65c8a1;d6a0bcdc66813f20453c0cc0,True,True,True
Devstral,F08,B,3d79c97387d13255b6f6049a;bd2ba4bad91e84dc00d2257d,True,True,True
Devstral,F17,N,7195fba55a161c1d1a86cd5c;c9c4a5eeb23c85d1ed01bfa4,False,True,False
Devstral,F17,C,cb8e65d6cf6917e96f976912;dc0351a09a8b91d51d52de73,True,True,True
Devstral,F17,I,6af5546abe4442b43832ed66;edd58283e902cc63732f7e17,True,True,True
Devstral,F17,B,57144ab08a8f7bc53a5c785f;60a5935e49ee26496694a16c,True,True,True
Devstral,F20,N,a9d05ec40a0f1ba37848722e;bba4f3d5d232c6f3d19ee074,True,True,True
Devstral,F20,C,0d9caece4bc62907d7240c71;129375397480e923c306267a,True,True,True
Devstral,F20,I,83761e4688ea479d8269caa4;d28a06b22ddb709425bfbe83,True,True,True
Devstral,F20,B,119ea8db96db45906e739d2f;4776ed9544b216dd41b5b295,True,True,True
Devstral,X02,N,bd0eae1bf3c932c30cbf4495;e10cd9cff002ce1007616447,True,True,True
Devstral,X02,B,2e512840e06eaa1d5894d658;d2a64fecb6a3f219181071dd,True,True,True
Devstral,X05,N,e4ae321724eb2d4cd181e9e2;ed75e011f066fe4b14642e0d,True,True,True
Devstral,X05,C,42382135044a5cde9aa382e1;e12e91401e8ba1d983f16c11,True,True,True
Devstral,X05,I,0793342d6460d65fe19bc685;53fbbd206b08675a50dfa93e,True,True,True
Devstral,X05,B,6739f245d4e46d4f790a6be3;bf325bb1311ac717f725c121,False,True,False
Devstral,X06,N,db4850165ec8c7856154415c;ef72751f188258e3e3356dc9,True,True,True
Devstral,X06,C,5603743490b251ac0b14a826;eddf7579e210694bd0755cfc,True,True,True
Devstral,X06,I,294eaaa43678cffa485bb38a;70de93823377cb623180c23b,False,True,False
Devstral,X06,B,22d9e5708b4d20491fa51e29;a242754031730382aeab1677,True,True,True
Devstral,X11,N,679022bb88fb6b5e5175fab7;d4fab97d4169bfa0b6baae88,True,False,False
Devstral,X11,C,5c2907a10a9e37bae17ece23;ae722ea7e1c86180bb3f1b95,True,True,True
Devstral,X11,I,05a1fae4eb72c2c6e9372b30;0b08e0d0b4721dd7d54039c9,True,True,True
Devstral,X11,B,072ed1f99285f19ae1138a57;f0a5db1365415d0f51bb2f6d,True,True,True
Devstral,X20,N,a076b1f1ca9a94422c2335d1;bc2d1d16fc6f01f576d4aefa,True,True,True
Devstral,X20,C,792d15fd71c1068c1d4b54f3;d2a06ff9374dafc8711691bc,True,True,True
Devstral,X20,I,8b0f604f583318b537a74069;e56241320a0689ad1b6a28e2,True,True,True
Devstral,X20,B,229d4e0482e4fb3caf84f0b5;90e022450c4c730f8b80e0ea,True,True,True
Devstral,X24,N,079d325cdb24fed02c9e5bc5;a8555a2063a2711232db4fc8,True,True,True
Devstral,X24,C,1193d1c90499107ae20f0561;e11c7ff18cc0e2efe05de180,True,True,True
Devstral,X24,I,33c518a55a5bcca5aa39a111;b940a02fb96c7f7b2d475ee1,True,True,True
Devstral,X24,B,a2a030f8aa1b142a59fd9922;b759c0205d0840667e6c3e9c,True,True,True
Devstral,X28,N,0578ed18fb0d4e8d6c38d869;1bdf8da180738810d226eb0c,True,True,True
Devstral,X28,C,29b3ab9ba39107e9f75996d5;acb7bbead9ac064f5ab0e2f2,False,True,False
Devstral,X28,I,020da92453ff8d7c92967213;b289c5c7b9a006bd6f06616d,True,True,True
Devstral,X28,B,44d35e6dd5d4857400589b31;995e10e6cb525d94602cb32e,True,True,True
