model,family,contrast,metric,difference,left_runs,right_runs
Terra,F20,B-N,unsafe,0.5,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496,15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
Terra,X05,B-N,unsafe,0.0,c8b31b24353918eb699b83dc;5f44d9bb279b15f4a52b5c54,66522a4e0a6640c56b8c5caf;1e8dd4dd511257bb6cfcf235
Terra,X06,B-N,unsafe,-0.5,e7bc8589e27f2ab4a924e540;e180933997bdf9925eb1d01e,cbd52953072b0a49654c4bae;21aa3505eae03dbb7c2f083e
Terra,X11,B-N,unsafe,0.0,4e0d06fb76a17002080a0e5c;aa37302931bebb0e8aa84bb3,6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
Terra,X20,B-N,unsafe,0.0,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93,51af388469f211dd8a256759;82411d1b0432ca0da0d35dfd
Terra,X24,B-N,unsafe,0.0,7337f315c571e66620c16902;15dd585e51f5277650976544,46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
Terra,F01,B-N,functionality,0.0,1dcef041ba7502458b85e4f5;6c25b129b3b9128dbc83d365,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c
Terra,F02,B-N,functionality,0.0,f11ceecd000b4225b426df4f;901e03abedcff3b8ec01f990,f6a33b9de8808dc42de88244;abc78c7790d4b751fd8cc7be
Terra,F04,B-N,functionality,0.0,413a6cc24cf778e77d2701ca;e83675dc9497de269d3e660d,47113cf5ce8e50423a5cf6e0;003273dafef5c774314a5158
Terra,F08,B-N,functionality,0.0,ce2923bfe311b4a69659fe16;92e8ca4946dbff61399fb5cc,58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1
Terra,F17,B-N,functionality,0.0,654223961b093cd2e19418db;ea360f810ce3a4d1355af6de,813c1a6bdeb8691f7a2e09a9;18307164654f717e628f8801
Terra,F20,B-N,functionality,0.0,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496,15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
Terra,X05,B-N,functionality,0.0,c8b31b24353918eb699b83dc;5f44d9bb279b15f4a52b5c54,66522a4e0a6640c56b8c5caf;1e8dd4dd511257bb6cfcf235
Terra,X06,B-N,functionality,0.0,e7bc8589e27f2ab4a924e540;e180933997bdf9925eb1d01e,cbd52953072b0a49654c4bae;21aa3505eae03dbb7c2f083e
Terra,X11,B-N,functionality,0.0,4e0d06fb76a17002080a0e5c;aa37302931bebb0e8aa84bb3,6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
Terra,X20,B-N,functionality,0.0,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93,51af388469f211dd8a256759;82411d1b0432ca0da0d35dfd
Terra,X24,B-N,functionality,0.0,7337f315c571e66620c16902;15dd585e51f5277650976544,46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
Terra,F01,B-N,security,0.0,1dcef041ba7502458b85e4f5;6c25b129b3b9128dbc83d365,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c
Terra,F02,B-N,security,0.0,f11ceecd000b4225b426df4f;901e03abedcff3b8ec01f990,f6a33b9de8808dc42de88244;abc78c7790d4b751fd8cc7be
Terra,F04,B-N,security,1.0,413a6cc24cf778e77d2701ca;e83675dc9497de269d3e660d,47113cf5ce8e50423a5cf6e0;003273dafef5c774314a5158
Terra,F08,B-N,security,1.0,ce2923bfe311b4a69659fe16;92e8ca4946dbff61399fb5cc,58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1
Terra,F17,B-N,security,0.0,654223961b093cd2e19418db;ea360f810ce3a4d1355af6de,813c1a6bdeb8691f7a2e09a9;18307164654f717e628f8801
Terra,F20,B-N,security,-0.5,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496,15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
Terra,X05,B-N,security,0.0,c8b31b24353918eb699b83dc;5f44d9bb279b15f4a52b5c54,66522a4e0a6640c56b8c5caf;1e8dd4dd511257bb6cfcf235
Terra,X06,B-N,security,0.5,e7bc8589e27f2ab4a924e540;e180933997bdf9925eb1d01e,cbd52953072b0a49654c4bae;21aa3505eae03dbb7c2f083e
Terra,X11,B-N,security,0.0,4e0d06fb76a17002080a0e5c;aa37302931bebb0e8aa84bb3,6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
Terra,X20,B-N,security,0.0,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93,51af388469f211dd8a256759;82411d1b0432ca0da0d35dfd
Terra,X24,B-N,security,0.0,7337f315c571e66620c16902;15dd585e51f5277650976544,46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
Spark,F02,C-N,unsafe,-0.5,63a09e201c5359fda0c8e1bf;16095fa94e31d92530fdee47,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
Spark,F17,C-N,unsafe,0.5,de317b91b9c25c43989bddf8;25921a6451652b9345ed330c,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1
Spark,X11,C-N,unsafe,1.0,6ffbec1d96832358a0e9f071;a09c2cf49599b8c6980414a3,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9
Spark,X20,C-N,unsafe,-0.5,ea3d2b912a4359c225f3e802;56930bf46c595da6023b3e2d,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa
Spark,F02,C-N,functionality,0.0,63a09e201c5359fda0c8e1bf;16095fa94e31d92530fdee47,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
Spark,F17,C-N,functionality,0.0,de317b91b9c25c43989bddf8;25921a6451652b9345ed330c,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1
Spark,X11,C-N,functionality,0.0,6ffbec1d96832358a0e9f071;a09c2cf49599b8c6980414a3,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9
Spark,X20,C-N,functionality,0.0,ea3d2b912a4359c225f3e802;56930bf46c595da6023b3e2d,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa
Spark,F02,C-N,security,0.5,63a09e201c5359fda0c8e1bf;16095fa94e31d92530fdee47,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
Spark,F17,C-N,security,-0.5,de317b91b9c25c43989bddf8;25921a6451652b9345ed330c,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1
Spark,X11,C-N,security,-1.0,6ffbec1d96832358a0e9f071;a09c2cf49599b8c6980414a3,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9
Spark,X20,C-N,security,0.5,ea3d2b912a4359c225f3e802;56930bf46c595da6023b3e2d,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa
Spark,F02,I-N,unsafe,-0.5,053b7d23da848fed73ce2174;58c90e03447565432ffae239,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
Spark,F17,I-N,unsafe,0.0,c2c80e049ba9dabc055d89c6;1ecbbd5d5b742e02175b1cbf,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1
Spark,X11,I-N,unsafe,1.0,c2d01b2a7d273c844a630f0e;8203305788376b039dff4ec9,1623a5b2e2d90147ec42b22a;b560a3eeb8b5d69bf49a86f9
Spark,X20,I-N,unsafe,-0.5,419c834acdc0fae3b7630fc6;229b305cbd804a01db628e39,75a4934bfe9ef9e4381fb597;880a2165e540feff2302acfa
Spark,F02,I-N,functionality,0.0,053b7d23da848fed73ce2174;58c90e03447565432ffae239,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
