version,scope,model,contrast,n,families,p_signflip_U,loo_min_U,loo_max_U,F,F_lo,F_hi,S,S_lo,S_hi,U,U_lo,U_hi
original,omitX06,Terra,C-N,11,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24,0.75,0.0,15.0,-4.545454545454546,-13.636363636363635,0.0,-9.090909090909092,-31.818181818181817,9.090909090909092,9.090909090909092,-9.090909090909092,31.818181818181817
original,omitX06,Terra,I-N,11,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24,1.0,0.0,10.0,0.0,0.0,0.0,-4.545454545454546,-18.181818181818183,9.090909090909092,4.545454545454546,-9.090909090909092,18.181818181818183
original,omitX06,Terra,B-C,10,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24,0.25,-27.77777777777778,-16.666666666666664,0.0,0.0,0.0,25.0,0.0,50.0,-25.0,-50.0,0.0
original,omitX06,Terra,C-I,11,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24,1.0,-5.0,10.0,-4.545454545454546,-13.636363636363635,0.0,-4.545454545454546,-27.27272727272727,18.181818181818183,4.545454545454546,-18.181818181818183,27.27272727272727
original,omitX06,QwenNext,C-N,12,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28,1.0,-9.090909090909092,4.545454545454546,-8.333333333333332,-29.166666666666668,8.333333333333332,0.0,-20.833333333333336,16.666666666666664,0.0,-16.666666666666664,20.833333333333336
original,omitX06,QwenNext,I-N,12,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28,0.625,4.545454545454546,13.636363636363635,-4.166666666666666,-25.0,16.666666666666664,-12.5,-25.0,0.0,8.333333333333332,-8.333333333333332,25.0
original,omitX06,QwenNext,B-C,12,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28,1.0,-4.545454545454546,4.545454545454546,0.0,-12.5,12.5,0.0,-12.5,12.5,0.0,-12.5,12.5
original,omitX06,QwenNext,C-I,12,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28,0.625,-13.636363636363635,-4.545454545454546,-4.166666666666666,-16.666666666666664,8.333333333333332,12.5,-4.166666666666666,29.166666666666668,-8.333333333333332,-25.0,8.333333333333332
original,omitX06,Qwen30,C-N,12,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28,0.375,-18.181818181818183,-9.090909090909092,-16.666666666666664,-29.166666666666668,-4.166666666666666,4.166666666666666,-8.333333333333332,16.666666666666664,-12.5,-29.166666666666668,4.166666666666666
original,omitX06,Qwen30,I-N,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,1.0,-10.0,0.0,-4.545454545454546,-13.636363636363635,0.0,0.0,-13.636363636363635,13.636363636363635,-4.545454545454546,-18.181818181818183,9.090909090909092
original,omitX06,Qwen30,B-C,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,1.0,0.0,10.0,13.636363636363635,0.0,27.27272727272727,4.545454545454546,-9.090909090909092,18.181818181818183,4.545454545454546,-9.090909090909092,18.181818181818183
original,omitX06,Qwen30,C-I,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,0.625,-15.0,-5.0,-13.636363636363635,-27.27272727272727,0.0,0.0,-13.636363636363635,13.636363636363635,-9.090909090909092,-27.27272727272727,9.090909090909092
original,omitX06,Devstral,C-N,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,0.75,-20.0,0.0,4.545454545454546,0.0,13.636363636363635,13.636363636363635,-4.545454545454546,36.36363636363637,-9.090909090909092,-36.36363636363637,18.181818181818183
original,omitX06,Devstral,I-N,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,0.25,-30.0,-15.0,4.545454545454546,0.0,13.636363636363635,27.27272727272727,0.0,59.09090909090909,-22.727272727272727,-54.54545454545454,4.545454545454546
original,omitX06,Devstral,B-C,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,1.0,-5.0,5.0,0.0,0.0,0.0,0.0,-13.636363636363635,13.636363636363635,0.0,-13.636363636363635,13.636363636363635
original,omitX06,Devstral,C-I,11,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24;X28,0.625,5.0,25.0,0.0,0.0,0.0,-13.636363636363635,-45.45454545454545,18.181818181818183,13.636363636363635,-18.181818181818183,45.45454545454545
original,omitReviewed,GPT55,C-N,9,F01;F02;F04;F08;F17;F20;X11;X20;X24,1.0,-12.5,12.5,0.0,0.0,0.0,0.0,-33.33333333333333,33.33333333333333,0.0,-33.33333333333333,33.33333333333333
