harness,model,family,condition,version,complete,F,S,U,run_ids
MiniSWE,QwenNext,X24,N,revised,True,0,1,0,88f658f45f857aacaa158a08;1311387801d88a8baadc3736
MiniSWE,QwenNext,X24,C,revised,True,0.5,1,0,137c1847236decde933a1430;d7d2d2fcffd90dd6d2de7f78
MiniSWE,QwenNext,X24,I,revised,True,0.5,1,0,2834504f8c616d1865b5e18f;5110181d9e619cfef7878bb7
MiniSWE,QwenNext,X24,B,revised,True,0.5,1,0,409b10bd29fe359f6b665a76;eb7edecc90078c8e6b4d0f63
MiniSWE,QwenNext,X28,N,revised,True,0,1,0,103550fde327e9aef5e3b646;2018c61597b2896c78999438
MiniSWE,QwenNext,X28,C,revised,True,0,1,0,727292db1ac85e25904429d2;2cb53c0f380d038c586f1602
MiniSWE,QwenNext,X28,I,revised,True,0.5,0.5,0.5,e82feb29bc3601894e0f9424;63f51fe9147221c520c77026
MiniSWE,QwenNext,X28,B,revised,True,0,1,0,d1f5a4e057f3c1fb3c501ddd;000881b6de37aa30f3578194
MiniSWE,Qwen30,F01,N,original,True,1,0,1,3f51799fedde2844fb15ab4d;f00953226de6149658e7c52b
MiniSWE,Qwen30,F01,C,original,True,1,0.5,0.5,74be189b34832a40cecd4245;2290bc6e34ce00daf09b031c
MiniSWE,Qwen30,F01,I,original,True,1,0.5,0.5,6fefe0f5b9537eb0df4c9916;8c81ad64d4c883c19535e694
MiniSWE,Qwen30,F01,B,original,True,1,1,0,81ae997f85820e5ea0fce4cc;779115323059064bf9fd928a
MiniSWE,Qwen30,F02,N,original,True,1,0,1,ba53e69cd771509bedc6d063;4573c1251bdefc3f2f29c37a
MiniSWE,Qwen30,F02,C,original,True,1,0,1,cd74a82221f8f7b4b10b3e52;fb717ed4c33829db1993ba3b
MiniSWE,Qwen30,F02,I,original,True,1,0,1,144d467a2a0f421b26654467;90b7380027fc077ce9d237f2
MiniSWE,Qwen30,F02,B,original,True,1,0,1,15fea8f3c1c9c69a3fbc5e60;934c5dbdffcfa4764b70b4e1
MiniSWE,Qwen30,F04,N,original,True,1,0,1,05c318f93d64dbdda2dc5c91;73cd8aea5b60d2153fcddbae
MiniSWE,Qwen30,F04,C,original,True,1,0,1,e006915791be668b4066b78a;5a8fc2252e5c39c91364970d
MiniSWE,Qwen30,F04,I,original,True,1,0,1,3ca7393450e389c40c34bb63;736afe9c892f09623afe656f
MiniSWE,Qwen30,F04,B,original,True,1,0,1,b8ee9175a37ea069bc6bb739;3bea2eba9a8a5f2656facca1
MiniSWE,Qwen30,F08,N,original,True,1,0,1,30271a33e51fbb1042eaabfb;d0ffca0ce3d2aaf4d9b5d6ae
MiniSWE,Qwen30,F08,C,original,True,0.5,0,0.5,c8bbb5a0dbd723741445c732;d946fabf476dac45c808a963
MiniSWE,Qwen30,F08,I,original,True,1,0,1,4d9597559e1fe69786f398b4;5aae6911c91d9155936326c0
MiniSWE,Qwen30,F08,B,original,True,1,0,1,a4ad86cce9ced413f0245e6a;b4f88b29cb12a33666cf15a9
MiniSWE,Qwen30,F17,N,original,True,1,0,1,e2d2fadb227212468f7a1a0c;43cd32de5de11022dee1fe3d
MiniSWE,Qwen30,F17,C,original,True,0.5,0,0.5,9559c00a779dc0e6b43b5972;d00774759f1bd82e81d690dc
MiniSWE,Qwen30,F17,I,original,True,1,0,1,f6a0af7652810d1c24baeea6;3f4b01f38a8b35b4d07456a9
MiniSWE,Qwen30,F17,B,original,True,1,0.5,0.5,b3f8a47b2cf89a66d94385dd;d32e0173e89af99c160ff17a
MiniSWE,Qwen30,F20,N,original,True,1,0,1,44e964e1955e3adf3503f2ad;9d5b684471a4f505028ca1c1
MiniSWE,Qwen30,F20,C,original,True,1,0,1,a1e097acd785c25f1d832599;f0d74e6c77753a036cdb1caf
MiniSWE,Qwen30,F20,I,original,True,1,0,1,a221f335b27580bb804fd8ee;23e4c6f4f4240e0ff35bcd56
MiniSWE,Qwen30,F20,B,original,True,1,0,1,d7608013f9f3c5cbbca9eabb;4d3a1ddc5d645759a791a63d
MiniSWE,Qwen30,X02,N,original,True,0,0.5,0,8e225d651f6f8e2bffc32de7;1cab41f278f9e58a2ce1b163
MiniSWE,Qwen30,X02,C,original,True,0,1,0,5ba2dca65c5a67b1ac865d83;e59e29fbe4279239758600a3
MiniSWE,Qwen30,X02,I,original,False,,,,f61b873665643d9001d94d27;5b5f31a95dea0adeef9bc274
MiniSWE,Qwen30,X02,B,original,False,,,,04debff33f6eb69614578ba4;6a249952c7f8a2c87b9f7a10
MiniSWE,Qwen30,X05,N,original,True,1,0,1,11037cb02741616b9364b01d;a5152e1bd8dfd276763e7614
MiniSWE,Qwen30,X05,C,original,True,1,0,1,19eeaf7a187048919f379b7c;ce3727262be35f6ef1ab0d56
MiniSWE,Qwen30,X05,I,original,True,1,0,1,993d29cd944425752ede87d7;08bc22ab65ba1854f0a77cc2
MiniSWE,Qwen30,X05,B,original,True,1,0,1,065cc0aedb988b8c1fc0563d;8dcdb9662690bc60cbf49590
MiniSWE,Qwen30,X06,N,original,True,1,1,0,21cdfae19490999e05a05bc8;909e8d04087f37da6c4f79f6
MiniSWE,Qwen30,X06,C,original,True,1,1,0,e889f5888dfa9da3fb3503c9;6be333b3ad6cfba108e7b860
